x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,y
620000,0,58,0,620000,0,0,0,1,99998,1,99998,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,2,2,2,3,6,5,1,1,2,1,1,1,1,4,150,74,136,5,3,4,1,0,0,2,4,0,0,1,4,3,3,3,3,3,2,1,3,1,1,1,1,1,0,-999,1,0,0,8,1
620000,0,16,1,620000,0,0,0,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,99998,4,5,5,3,4,5,4,7,5,3,174,128,170,4,3,1,1,0,7,2,2,0,0,1,3,3,3,3,3,3,1,1,6,0,0,1,2,1,-999,-999,-2,1,-1,2,1
630000,1,42,1,630000,0,0,0,2,2,99998,99998,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,2,2,4,1,1,1,2,1,-999,-999,-999,-999,-999,1,-999,3,2,2,2,99998,5,5,1,2,4,3,3,5,5,3,160,120,160,2,1,3,0,0,0,1,3,1,1,1,4,4,2,3,3,3,2,0,6,0,0,3,3,1,1,0,-1,1,-1,2,0
350000,1,62,0,350000,0,0,0,2,2,2,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,1,1,1,3,5,5,1,5,3,5,4,5,2,3,148,102,148,3,1,1,0,0,0,3,3,0,0,1,4,4,4,4,4,4,1,1,4,0,0,1,1,1,-1,-1,0,1,-1,8,0
330000,1,50,1,330000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,4,4,4,-999,-999,-999,-999,1,2,-999,4,1,-999,2,2,3,2,2,4,6,5,4,4,5,5,8,3,2,172,170,168,1,1,1,0,0,0,2,1,1,1,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,0,1,1,1,1,0,0,2,0,1,2,1
230000,0,56,0,370000,0,0,0,1,99998,1,99998,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,1,6,6,1,3,3,5,5,5,1,2,165,136,160,3,3,1,0,0,2,2,3,0,0,1,4,3,3,2,3,2,1,1,4,0,0,-999,1,1,-2,-1,0,1,1,8,0
440000,1,36,1,230000,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,3,3,5,1,5,5,1,5,5,0,3,8,0,3,175,160,167,2,1,1,0,0,0,2,1,1,0,1,4,4,4,4,4,4,1,1,7,0,1,2,3,2,0,-999,0,1,0,5,0
340000,0,63,1,340000,0,0,0,1,99998,1,99998,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,3,3,3,3,5,5,1,4,4,3,4,4,1,3,162,112,162,2,3,2,0,0,0,2,2,1,1,2,4,4,3,3,3,4,1,1,4,0,0,-999,1,1,0,-1,0,1,1,8,1
520000,1,35,0,520000,0,0,0,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,2,1,3,3,3,5,1,1,1,5,1,2,150,90,150,3,1,1,0,0,0,2,2,0,0,1,4,4,4,4,4,4,2,1,8,1,0,1,1,1,0,-1,0,0,0,1,0
410000,1,35,0,410000,0,0,0,1,99998,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,99999,0,1,1,1,0,0,1,1,2,2,2,3,1,2,2,4,2,2,2,2,2,2,1,-999,3,2,2,3,3,4,5,4,4,3,2,2,3,5,3,163,130,161,1,1,3,0,0,0,3,3,0,0,1,2,2,4,3,3,3,2,0,7,0,0,4,3,3,0,2,0,0,-1,8,0
